Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Feature View Product List,Chrome 106.0.0.0,,,2022-10-25 13:24:52,2022-10-25 13:25:16,24.003s,PASSED
,,,,,,,
Test Cases/StepDefinition/Feature View Product List/VIEWPRODUCTLIST - User Want To See View Product List,Chrome 106.0.0.0,,,2022-10-25 13:24:59,2022-10-25 13:25:16,17.064s,PASSED
Start listener action : beforeTestCase,Chrome 106.0.0.0,,,2022-10-25 13:24:59,2022-10-25 13:25:04,4.533s,PASSED
"callTestCase(findTestCase(""Pages/UserViewProductList/Click Link Masuk""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-25 13:25:05,2022-10-25 13:25:06,1.650s,PASSED
"callTestCase(findTestCase(""Pages/UserViewProductList/Input Username""), [""email"":""binarqae1@gmail.com""], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-25 13:25:06,2022-10-25 13:25:08,1.528s,PASSED
"callTestCase(findTestCase(""Pages/UserViewProductList/Input Password""), [""password"":""students1234""], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-25 13:25:08,2022-10-25 13:25:09,1.317s,PASSED
"callTestCase(findTestCase(""Pages/UserViewProductList/Click login button""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-25 13:25:09,2022-10-25 13:25:10,1.322s,PASSED
"scrollToElement(findTestObject(""Page_Home/button_Semua""), 3)",Chrome 106.0.0.0,,,2022-10-25 13:25:10,2022-10-25 13:25:12,1.913s,PASSED
delay(3),Chrome 106.0.0.0,,,2022-10-25 13:25:12,2022-10-25 13:25:15,3.026s,PASSED
Start listener action : afterTestCase,Chrome 106.0.0.0,,,2022-10-25 13:25:15,2022-10-25 13:25:16,0.864s,PASSED
